"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,"32 - Máquina 40m² - V3",active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,7,1.142857,,300,Diário,0.65,Contínuo,–,–,–,8,81.25,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"21 - Máquina 40m² - Névoa Seca",active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,8,1.375,,300,Diário,0.91,Contínuo,–,–,–,11,82.727273,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - #AD17",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,95,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"33 - Máquina 500m² - App",active,"Clique de 7 dias ou visualização de 1 dia",1,actions:onsite_conversion.messaging_conversation_started_7d,34,1.205882,3.42,95,Diário,3.42,Contínuo,–,–,–,41,83.414634,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"21 - Máquina 40m² - Névoa Seca",active,"Clique de 7 dias ou visualização de 1 dia",,,51,1.254902,,300,Diário,7.56,Contínuo,–,–,–,64,118.125,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD20 - 5326",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,50,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - #AD20 - 5326",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,300,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"27 - Depoimento - Decidi Testar",active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",4,actions:offsite_conversion.fb_pixel_purchase,6639,1.235276,173.6475,160,Diário,694.59,Contínuo,"Acima da média","Acima da média","Abaixo da média – 35% mais baixos dos anúncios",8201,84.695769,226,,3.073407,2.755761,288,3.511767,2.411771,222,3.128784,,4.654516,0,3232.98,,
2026-08-09,2026-08-13,"#AD23 - 5305 (sem CTA)",not_delivering,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"22 - Unboxing e Depoimento",active,"Clique de 7 dias ou visualização de 1 dia",,,38,1.105263,,300,Diário,6.93,Contínuo,–,–,–,42,165,3,,2.31,7.142857,3,7.142857,2.31,3,2.31,,,0,0,,
2026-08-09,2026-08-13,#AD004,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,#AD002,inactive,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - #AD27",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,300,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
